split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
treino,5,17.766050277883917,25.884006007889038,1.8344739179771863,60.90206827809619,0.9426872692575962
treino,15,30.68761378111847,43.67993386557639,3.141015189952238,61.749314727136806,0.9334647466488181
treino,30,42.96625081990504,60.40045148369511,4.3628675133261945,63.24445551956143,0.9534401947589402
val,5,24.67688577892248,36.22559923252386,1.5345999707415954,53.882915173237755,1.0027457131938253
val,15,40.46412857083009,55.39131628466116,2.5198224126737605,52.80764635603346,0.99953894022306
val,30,59.329071187873325,73.67984176668651,3.6990825552818176,54.360812425328554,1.0102848818448238
teste,5,32.645048066009814,41.7731194944233,1.5662940038127966,53.407682775712516,0.9903332611557915
teste,15,59.559012729106776,74.35962225808065,2.8370550371214094,56.50557620817844,0.9955554173087681
teste,30,85.00087527338013,103.69797450598902,3.9712096747541072,58.7360594795539,0.9717096284072966
