split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
fold_1,5,14.950692478781919,20.099274228564138,2.2202964687113065,53.58444714459295,1.0217411130827667
fold_1,15,26.15431350077053,34.359319215888,3.8893218027983583,56.98663426488457,1.0194898718591825
fold_1,30,34.81095317557979,45.3686819131993,5.101859741318771,66.22114216281896,0.9537183803713495
fold_2,5,27.661629645242147,36.77480585400059,2.4727330781384893,53.58444714459295,1.0106779251927163
fold_2,15,45.18645884001385,59.072738078015995,3.9939918434601602,63.79100850546781,0.9695426208787481
fold_2,30,55.31483439379445,74.14605347158516,4.860504614749864,75.09113001215067,0.8281507129551313
fold_3,5,29.805659703292932,41.57595291346872,2.0713263665156356,51.03280680437424,1.1034414504664476
fold_3,15,54.70857643510417,69.41062921921781,3.8216443676149745,50.78979343863913,1.152425723705791
fold_3,30,89.75572914614423,111.90831226502458,6.197820608382823,46.05103280680438,1.42241429529827
fold_4,5,19.861492203442182,24.79980859113024,1.620545421192694,49.33171324422843,1.055616371045014
fold_4,15,34.63048932840584,43.33683134593668,2.83406240279826,50.78979343863913,1.0463343042289222
fold_4,30,48.497084500896825,62.690397443887164,3.9776346250494763,51.275820170109355,1.1354302575449458
fold_5,5,25.293285366483616,37.05940632359456,1.5718519335030507,49.817739975698665,1.0209711364301293
fold_5,15,42.48990548161805,58.22202798320966,2.642839917357819,47.1445929526124,1.045335607122774
fold_5,30,60.988591116500224,76.4540916542233,3.8069070205759252,51.76184690157959,1.0322423349268224
