h,rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,params
5,1,-0.0006604614376556128,0.0002463870878879619,-0.0006381785729900003,0.0001161535522681315,"OrderedDict({'colsample_bytree': 0.8389665024602303, 'gamma': 0.17209652192016012, 'learning_rate': 0.023676821618006886, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 336, 'reg_alpha': 8.564230042602063e-06, 'reg_lambda': 1.8917563805150739, 'subsample': 0.8614680846067603})"
5,2,-0.0006604903028346598,0.0002463783916999828,-0.0006381785729900003,0.00011615351452636663,"OrderedDict({'colsample_bytree': 0.95, 'gamma': 0.49999999999999994, 'learning_rate': 0.029740769809692418, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 203, 'reg_alpha': 1.0, 'reg_lambda': 0.6672566605441475, 'subsample': 0.7643928907955556})"
5,3,-0.0006605105416383594,0.00024634605738852193,-0.0006381786661222577,0.00011615353450168613,"OrderedDict({'colsample_bytree': 0.9174776711106568, 'gamma': 0.10814022532813294, 'learning_rate': 0.03259151594502462, 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 219, 'reg_alpha': 6.758514185447545e-06, 'reg_lambda': 0.39878093057861286, 'subsample': 0.877145820375834})"
5,4,-0.0006605653325095773,0.0002463189861265733,-0.0006381794111803174,0.0001161530427609851,"OrderedDict({'colsample_bytree': 0.8334215352679647, 'gamma': 0.1938930516512461, 'learning_rate': 0.07223430016938077, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 461, 'reg_alpha': 3.885098892419323e-06, 'reg_lambda': 0.8574073935896329, 'subsample': 0.7910626596896064})"
5,5,-0.0006606223701965064,0.00024617664066107543,-0.0006381877814419567,0.00011615435756854748,"OrderedDict({'colsample_bytree': 0.95, 'gamma': 0.49999999999999994, 'learning_rate': 0.06416472864647287, 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 200, 'reg_alpha': 1e-06, 'reg_lambda': 1.2440214815385622, 'subsample': 0.7600578322875438})"
5,6,-0.0007235303171910345,0.0002462575025739089,-0.0003140331129543483,1.254147817830548e-05,"OrderedDict({'colsample_bytree': 0.8818852457398192, 'gamma': 0.0008384997486075877, 'learning_rate': 0.0827550448476795, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 280, 'reg_alpha': 0.8240328520061186, 'reg_lambda': 0.11771039550973651, 'subsample': 0.8484672270092173})"
5,7,-0.0007269191148225218,0.0002527014562211428,-0.0004636565805412829,4.793570510011285e-05,"OrderedDict({'colsample_bytree': 0.8320207917706628, 'gamma': 0.01403741636507373, 'learning_rate': 0.08975873945727558, 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 324, 'reg_alpha': 0.0001275228497694486, 'reg_lambda': 1.8046604969665554, 'subsample': 0.8108926622073013})"
5,8,-0.0007300740748178214,0.0002517340493818054,-0.0004264785151463002,4.588888282993662e-05,"OrderedDict({'colsample_bytree': 0.9446413955385777, 'gamma': 0.010210343635826622, 'learning_rate': 0.03695458613999932, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 334, 'reg_alpha': 0.00014683937155250898, 'reg_lambda': 4.939825088402722, 'subsample': 0.7960150395569889})"
5,9,-0.0007544994237832725,0.00026718865578407506,-0.00031987038382794706,0.00012262446021596272,"OrderedDict({'colsample_bytree': 0.8795583176693755, 'gamma': 0.001362159638735121, 'learning_rate': 0.024529180004963555, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 223, 'reg_alpha': 0.01002243808660948, 'reg_lambda': 1.4453302861597752, 'subsample': 0.904397443748709})"
5,10,-0.0007596847310196609,0.000247721335758871,-0.00020273544068913907,2.2559084865804432e-05,"OrderedDict({'colsample_bytree': 0.9406960300379588, 'gamma': 0.003888546382482328, 'learning_rate': 0.09876742631383935, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 382, 'reg_alpha': 7.017244460272394e-06, 'reg_lambda': 0.12057054407843056, 'subsample': 0.8853310221836537})"
