h,rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,params
15,1,-0.0018537742784246803,0.0006556785573321815,-0.0017809334676712751,0.000347225362407691,"OrderedDict({'colsample_bytree': 0.7736202652488748, 'gamma': 0.49999999999999994, 'learning_rate': 0.02318915192718661, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 308, 'reg_alpha': 0.05925102923200062, 'reg_lambda': 2.2791571711710703, 'subsample': 0.942565902567476})"
15,2,-0.0018706111004576087,0.0006422254924161043,-0.0016776621341705322,0.00028779192714501215,"OrderedDict({'colsample_bytree': 0.8334215352679647, 'gamma': 0.1938930516512461, 'learning_rate': 0.07223430016938077, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 461, 'reg_alpha': 3.885098892419323e-06, 'reg_lambda': 0.8574073935896329, 'subsample': 0.7910626596896064})"
15,3,-0.0018769663060083986,0.000646148460028493,-0.0016634198371320962,0.00027982005992689864,"OrderedDict({'colsample_bytree': 0.8389665024602303, 'gamma': 0.17209652192016012, 'learning_rate': 0.023676821618006886, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 336, 'reg_alpha': 8.564230042602063e-06, 'reg_lambda': 1.8917563805150739, 'subsample': 0.8614680846067603})"
15,4,-0.0019251091638579966,0.0006590234394767491,-0.001517722220160067,0.00023038524111840971,"OrderedDict({'colsample_bytree': 0.9174776711106568, 'gamma': 0.10814022532813294, 'learning_rate': 0.03259151594502462, 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 219, 'reg_alpha': 6.758514185447545e-06, 'reg_lambda': 0.39878093057861286, 'subsample': 0.877145820375834})"
15,5,-0.002214465569704771,0.0008017776018190768,-0.0006836688975454308,0.00034238875986942953,"OrderedDict({'colsample_bytree': 0.8795583176693755, 'gamma': 0.001362159638735121, 'learning_rate': 0.024529180004963555, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 223, 'reg_alpha': 0.01002243808660948, 'reg_lambda': 1.4453302861597752, 'subsample': 0.904397443748709})"
15,6,-0.0022376591339707376,0.0007664077670967487,-0.00032281705061905087,5.460605276739154e-06,"OrderedDict({'colsample_bytree': 0.8818852457398192, 'gamma': 0.0008384997486075877, 'learning_rate': 0.0827550448476795, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 280, 'reg_alpha': 0.8240328520061186, 'reg_lambda': 0.11771039550973651, 'subsample': 0.8484672270092173})"
15,7,-0.0023047397378832104,0.0007675974418288553,-9.408215573785128e-05,8.098217639336422e-05,"OrderedDict({'colsample_bytree': 0.944111827834323, 'gamma': 1.4404268623943087e-06, 'learning_rate': 0.035256292402898834, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 285, 'reg_alpha': 0.0010161940832362876, 'reg_lambda': 1.8922568400154014, 'subsample': 0.7959241084201167})"
15,8,-0.002305408497340977,0.0007072965765057822,-0.00019935614545829594,4.1309104460811095e-05,"OrderedDict({'colsample_bytree': 0.9406960300379588, 'gamma': 0.003888546382482328, 'learning_rate': 0.09876742631383935, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 382, 'reg_alpha': 7.017244460272394e-06, 'reg_lambda': 0.12057054407843056, 'subsample': 0.8853310221836537})"
15,9,-0.0023065980058163404,0.0007871252450701975,-0.0005472598946653307,0.00011190387980993746,"OrderedDict({'colsample_bytree': 0.8320207917706628, 'gamma': 0.01403741636507373, 'learning_rate': 0.08975873945727558, 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 324, 'reg_alpha': 0.0001275228497694486, 'reg_lambda': 1.8046604969665554, 'subsample': 0.8108926622073013})"
15,10,-0.002315728762187064,0.0007694524604989655,-6.60667451484187e-05,5.870758523935833e-05,"OrderedDict({'colsample_bytree': 0.9124791976714727, 'gamma': 9.538736963073258e-06, 'learning_rate': 0.052365706109989626, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 229, 'reg_alpha': 0.03426124945863853, 'reg_lambda': 3.037895252221322, 'subsample': 0.9323857723013766})"
30,1,-0.0034191739978268743,0.0011743702482918718,-0.0033264281693845986,0.0005792043218051399,"OrderedDict({'colsample_bytree': 0.7667094432406032, 'gamma': 0.49999999999999994, 'learning_rate': 0.020000000000000004, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 463, 'reg_alpha': 1.0, 'reg_lambda': 0.2395239871791339, 'subsample': 0.75})"
30,2,-0.0034205744275823237,0.001171674308342152,-0.003308851970359683,0.0005684361935772757,"OrderedDict({'colsample_bytree': 0.9257789742088338, 'gamma': 0.48067437165027194, 'learning_rate': 0.023920066316101496, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 430, 'reg_alpha': 0.7796694784368119, 'reg_lambda': 0.24796867905409703, 'subsample': 0.9432074752656296})"
30,3,-0.00342618552967906,0.0011700603536472928,-0.003273756522685289,0.0005473487222649919,"OrderedDict({'colsample_bytree': 0.9388785316648096, 'gamma': 0.49999999999999994, 'learning_rate': 0.020000000000000004, 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 231, 'reg_alpha': 1e-06, 'reg_lambda': 0.11318485153151939, 'subsample': 0.95})"
30,4,-0.003426305647008121,0.0011701261880128681,-0.003272208943963051,0.0005463966326496633,"OrderedDict({'colsample_bytree': 0.9019104070574134, 'gamma': 0.49999999999999994, 'learning_rate': 0.020000000000000004, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 255, 'reg_alpha': 0.0013779577158358892, 'reg_lambda': 0.1455569270096008, 'subsample': 0.95})"
30,5,-0.003537701861932874,0.0011625662579784757,-0.0024938352638855577,0.0003207036563320125,"OrderedDict({'colsample_bytree': 0.8389665024602303, 'gamma': 0.17209652192016012, 'learning_rate': 0.023676821618006886, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 336, 'reg_alpha': 8.564230042602063e-06, 'reg_lambda': 1.8917563805150739, 'subsample': 0.8614680846067603})"
30,6,-0.0037169230403378607,0.0012440095883959744,-0.0019821545807644724,0.00027235460245374573,"OrderedDict({'colsample_bytree': 0.9174776711106568, 'gamma': 0.10814022532813294, 'learning_rate': 0.03259151594502462, 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 219, 'reg_alpha': 6.758514185447545e-06, 'reg_lambda': 0.39878093057861286, 'subsample': 0.877145820375834})"
30,7,-0.004258369840681553,0.0014777451541439733,-0.0010567872639512643,0.000577458191267281,"OrderedDict({'colsample_bytree': 0.8795583176693755, 'gamma': 0.001362159638735121, 'learning_rate': 0.024529180004963555, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 223, 'reg_alpha': 0.01002243808660948, 'reg_lambda': 1.4453302861597752, 'subsample': 0.904397443748709})"
30,8,-0.004328216798603535,0.00135538747623691,-0.00033405572758056224,1.3374356410349604e-05,"OrderedDict({'colsample_bytree': 0.8818852457398192, 'gamma': 0.0008384997486075877, 'learning_rate': 0.0827550448476795, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 280, 'reg_alpha': 0.8240328520061186, 'reg_lambda': 0.11771039550973651, 'subsample': 0.8484672270092173})"
30,9,-0.004489611787721515,0.0012771997205845086,-0.0006690977490507067,0.0002552281505362819,"OrderedDict({'colsample_bytree': 0.9446413955385777, 'gamma': 0.010210343635826622, 'learning_rate': 0.03695458613999932, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 334, 'reg_alpha': 0.00014683937155250898, 'reg_lambda': 4.939825088402722, 'subsample': 0.7960150395569889})"
30,10,-0.004566531116142869,0.0012795391609911478,-0.00014908156708770548,0.0001281914534820566,"OrderedDict({'colsample_bytree': 0.8760736745944506, 'gamma': 1.0932954224379784e-06, 'learning_rate': 0.020890585770519735, 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 439, 'reg_alpha': 1.2827371656568896e-06, 'reg_lambda': 2.6401643482101727, 'subsample': 0.7553986261105758})"
