h,device,best_neg_mse_cv,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
5,cuda,-0.0006604614376556128,0.8389665024602303,0.17209652192016012,0.023676821618006886,4,3,336,8.564230042602063e-06,1.8917563805150739,0.8614680846067603
15,cuda,-0.0018537742784246803,0.7736202652488748,0.49999999999999994,0.02318915192718661,5,3,308,0.05925102923200062,2.2791571711710703,0.942565902567476
30,cuda,-0.0034191739978268743,0.7667094432406032,0.49999999999999994,0.020000000000000004,5,3,463,1.0,0.2395239871791339,0.75
