date,close_t,pred_price_t+5,true_price_t+5,pred_price_t+15,true_price_t+15,pred_price_t+30,true_price_t+30
2021-12-14,1770.4,1775.933681869507,1787.8998995780946,1783.1023535728455,1824.5999024391176,1790.8691356658937,1793.2999879837037
2021-12-15,1762.6,1768.109301662445,1801.6000565052032,1775.246389746666,1788.7000539779663,1782.9789530754088,1784.9000646352767
2021-12-16,1796.6,1802.2155743598937,1811.2000649929046,1809.4903346300125,1797.0000721931456,1817.372056674957,1795.0000324845314
2021-12-17,1803.8,1809.4380791664123,1808.0999492406845,1816.741993546486,1798.399958729744,1824.6553021430968,1800.2999613046645
2021-12-20,1793.7,1799.306509923935,1810.20007417202,1806.569527566433,1818.6000030755997,1814.43852725029,1809.2000113606452
2021-12-21,1787.9,1793.4883810520173,1805.099937105179,1800.7279134392738,1827.200044643879,1808.5714684009554,1802.9999249577522
2021-12-22,1801.6,1807.2312026977538,1812.7000411987303,1814.5262088775635,1821.1998928070068,1822.4298660278318,1806.6000011444091
2021-12-23,1811.2,1816.8612091064454,1827.5000503540039,1824.1950874328613,1816.4999885559082,1832.1408599853517,1820.599938964844
2021-12-27,1808.1,1813.751519536972,1799.3999577105044,1821.0728453993797,1812.3000575780868,1829.005018186569,1826.5999970197677
2021-12-28,1810.2,1815.8580834388733,1813.9998928785324,1823.1879125833511,1843.099964118004,1831.1292981147767,1835.2000107765198
2021-12-29,1805.1,1810.742142534256,1824.6000364780425,1818.0513208508492,1842.4999596118926,1825.9703325748442,1836.199997484684
2021-12-30,1812.7,1818.3658976078034,1788.6999967634679,1825.7058497071266,1831.8000390410423,1833.658202791214,1840.7999997377397
2021-12-31,1827.5,1833.2121574878693,1796.9999764859676,1840.6120374798775,1841.7000052332878,1848.6293184757233,1867.9998937249184
2022-01-03,1799.4,1805.0243262290955,1798.3999767780306,1812.310424208641,1852.7000365018846,1820.2044299125673,1854.8000423669816
2022-01-04,1814.0,1819.669960975647,1818.5999774932861,1827.0151770114899,1829.8998939990997,1834.9732332229614,1870.2000823020935
2022-01-05,1824.6,1830.3030930519103,1827.2001058101653,1837.691230416298,1793.2999810695646,1845.6957890510557,1900.6999681949615
2022-01-06,1788.7,1794.2908815860749,1821.2000377416612,1801.533653318882,1784.9000342965126,1809.3807178974153,1898.6000574231148
2022-01-07,1797.0,1802.6168246269226,1816.4999356269836,1809.8932045698166,1795.0000505447388,1817.7766814231873,1906.100070476532
2022-01-10,1798.4,1804.0212005615235,1812.2999298095704,1811.3032493591309,1800.3001029968264,1819.1928680419924,1909.2000373840333
2022-01-11,1818.6,1824.2843390464782,1843.1001083135604,1831.6481813192368,1809.200028347969,1839.626417827606,1925.100059366226
2022-01-12,1827.2,1832.9112197875977,1842.500057220459,1840.3098850250244,1802.9999586105348,1848.3258499145509,1886.4999740600585
2022-01-13,1821.2,1826.8924657821656,1831.8001007556916,1834.2668359279633,1806.5999759197236,1842.2564786911012,1899.3999773025514
2022-01-14,1816.5,1822.177775144577,1841.7000535726547,1829.5331141352654,1820.600037932396,1837.5021378993988,1942.4000081419945
2022-01-18,1812.3,1817.9646473407745,1852.7000401496887,1825.3029797673225,1826.6001019120215,1833.253578042984,1920.9000608682632
2022-01-19,1843.1,1848.8609179019927,1829.8999837636948,1856.3239651322365,1835.2000502049923,1864.4096836566923,1934.4000024437903
2022-01-20,1842.5,1848.2590425014496,1793.3000518381596,1855.7196602225304,1836.199976503849,1863.8027465343475,1965.099955201149
2022-01-21,1831.8,1837.525597858429,1784.8999945521355,1844.9428893327713,1840.8000196695327,1852.9790345191955,1993.899929666519
2022-01-24,1841.7,1847.456541967392,1794.9999984025956,1854.9139203429222,1868.0000638961792,1862.9934970378877,2040.100031232834
2022-01-25,1852.7,1858.4909243106842,1800.2999754846096,1865.9928436875343,1854.799927854538,1874.1206776142121,1985.9000935077668
2022-01-26,1829.9,1835.6196590900422,1809.2000476658345,1843.029257118702,1870.2000373482706,1851.0570669651033,1998.1000784754754
2022-01-27,1793.3,1798.905259656906,1802.9999638319016,1806.1666576266289,1900.6999389410018,1814.0339025020598,1982.70005633831
2022-01-28,1784.9,1790.4790040493012,1806.6000277638436,1797.7063888907433,1898.599974858761,1805.5367827892305,1959.6000646710397
2022-01-31,1795.0,1800.6105732917786,1820.6000059843063,1807.8788548707962,1906.1000502109528,1815.7535576820374,1928.4999752044678
2022-02-01,1800.3,1805.9271393299102,1826.5999014616011,1813.2168815732002,1909.1999542951582,1821.1148355960845,1908.0000558972358
2022-02-02,1809.2,1814.8549577713013,1835.2000810146333,1822.180737733841,1925.1001064777374,1830.1177362442018,1942.0999188899993
2022-02-03,1803.0,1808.6355786323547,1836.200049161911,1815.9362536668777,1886.5000602006912,1823.846052646637,1928.1999031305313
2022-02-04,1806.6,1812.246831035614,1840.7999395608902,1819.5620831251144,1899.3999178647994,1827.4876753807066,1928.5999783515929
2022-02-07,1820.6,1826.2905903816222,1868.0001003026962,1833.6625310182571,1942.399903345108,1841.649541568756,1920.699915575981
2022-02-08,1826.6,1832.3093443870544,1854.8000676155089,1839.7055801153183,1920.8999913692473,1847.7189127922056,1936.6000351905823
2022-02-09,1835.2,1840.9362251281739,1870.199942970276,1848.367283821106,1934.3999408721925,1856.4183448791505,1961.5999740600587
2022-02-10,1836.2,1841.939350795746,1900.7000587940217,1849.3744586706161,1965.100083899498,1857.4299067497254,1953.7999982595445
2022-02-11,1840.8,1846.553728866577,1898.599958896637,1854.007462978363,1993.9000980377198,1862.08309135437,1939.5999950408934
2022-02-14,1868.0,1873.8387470245361,1906.0999398231506,1881.4026188850403,2040.1000747680664,1889.5975742340088,1911.999924659729
2022-02-15,1854.8,1860.5974882125854,1909.1999855041504,1868.1079108715057,1985.899958562851,1876.2449575424193,1933.4999074935913
2022-02-16,1870.2,1876.0456234931946,1925.1000358343124,1883.6184035539627,1998.1001017570495,1891.8230103492738,1949.1999675035477
2022-02-17,1900.7,1906.6409563541413,1886.5000493824482,1914.3372364640236,1982.6999254584314,1922.6756474018098,1919.0999711155891
2022-02-18,1898.6,1904.53439245224,1899.4000792264937,1912.2221692800522,1959.5999866724014,1920.551367473602,1929.1999183654784
2022-02-22,1906.1,1912.05783495903,1942.400074982643,1919.7759806513786,1928.500050652027,1928.1380815029142,1922.900094795227
2022-02-23,1909.2,1915.1675245285035,1920.8999440670013,1922.8982226848602,1908.0000086545945,1931.2739233016969,1918.4000474452973
2022-02-24,1925.1,1931.1172226428985,1934.4000742793082,1938.9123027920723,1942.0999161601067,1947.3577570438383,1933.7999584436416
2022-02-25,1886.5,1892.3965718746185,1965.1000437140465,1900.0353536009789,1928.19991761446,1908.3114688396454,1941.5998884439468
2022-02-28,1899.4,1905.3368929862977,1993.9000752210618,1913.0279091596603,1928.5999130249024,1921.3606169700624,1944.3000740766527
