date,close_t,fold,h5_q10,h5_q50,h5_q90,h5_true,h15_q10,h15_q50,h15_q90,h15_true,h30_q10,h30_q50,h30_q90,h30_true
2014-08-01,1293.6,1,1278.4613320467408,1301.02330616584,1322.552644582839,1308.90001373291,1277.0626119179774,1321.9993964941905,1346.4212063649627,1278.6000001430511,1277.1186511082406,1334.3280662090046,1385.45980863134,1233.6000005722044
2014-08-04,1287.7,1,1273.424712872045,1296.6909788520452,1314.880227746254,1308.5000361919404,1271.5652559260482,1314.5328666138312,1341.3183101043346,1277.29998190403,1269.0453003683683,1333.178589481477,1377.14147531925,1235.200017875433
2014-08-05,1284.0,1,1268.5627046447692,1293.877077144163,1311.3722484212522,1308.800006389618,1265.5081046626783,1310.0451278998746,1340.8572629679045,1283.8000209331512,1261.6192434848404,1332.2098983536866,1376.964079674088,1234.3999872207642
2014-08-06,1306.7,1,1291.8335334829476,1316.1304526902145,1335.8929348139511,1312.7999836921692,1290.453695963212,1336.5779197328077,1363.1295603911665,1281.8999679863452,1285.8543550068655,1355.6635341560716,1400.8140940968997,1225.6999739527705
2014-08-07,1310.8,1,1299.285138082086,1319.2711481379815,1334.6842235433055,1313.9000329494477,1298.2903478019264,1334.6613591771295,1358.0683036872967,1288.699979329109,1298.7669127643594,1352.4393250759963,1389.936101813617,1215.300030875206
2014-08-08,1308.9,1,1293.762954510087,1317.1962462721344,1338.1033745056625,1304.500024330616,1292.3278017288796,1337.997527914853,1363.543085309513,1285.800010710955,1290.555749761928,1353.2072033758589,1402.2711476032227,1216.8000163614752
2014-08-11,1308.5,1,1292.6050207615722,1315.671992609847,1337.437946838963,1297.6999639570713,1290.4735161391814,1335.6872295755184,1361.818135703601,1263.699992030859,1292.1133428110145,1347.4816027096304,1401.6790618362272,1221.0000149011612
2014-08-12,1308.8,1,1293.944920315011,1317.8066626855953,1336.9850793110963,1295.100019645691,1292.0636030086987,1336.6233120437262,1363.8180535696615,1268.9000173568725,1289.5014870348166,1354.8909012193194,1401.013220432562,1218.599979019165
2014-08-13,1312.8,1,1295.7939302975108,1322.6585444203513,1340.705829821636,1293.3999657154084,1291.4806750507153,1337.5471378015911,1371.937933375994,1265.099970960617,1289.0201580507587,1360.0906040693362,1409.6623974823194,1221.2000252723694
2014-08-14,1313.9,1,1294.60618037194,1321.7510837075718,1344.6524913456092,1273.6999704778195,1290.849128376869,1338.1036480965545,1372.3739965348348,1265.7999909758569,1288.4807430443143,1357.762928151783,1408.8919937378985,1214.1000190496443
2014-08-15,1304.5,1,1284.4325680299787,1313.8802803696858,1336.1131179318477,1278.5999785363674,1280.0170254258771,1330.2884357021153,1367.5805833403592,1252.700034826994,1274.242942950157,1354.3098307250514,1405.1808049447284,1217.4999819397926
2014-08-18,1297.7,1,1278.281859258829,1308.1905778549783,1327.482210397682,1277.29998857975,1272.8347263306423,1322.5017899048814,1361.72798957476,1246.799983638525,1267.5130819028648,1348.7004276552866,1400.0140344674612,1210.499967867136
2014-08-19,1295.1,1,1272.3776475003822,1303.8273027082373,1327.9908417296947,1283.8000370979307,1266.4934897863016,1318.8856519270444,1360.5572008293136,1243.4999958872795,1261.5882992726322,1342.7251189236283,1399.1631085334282,1214.5999609708786
2014-08-20,1293.4,1,1269.4096672210542,1300.6708634533538,1326.217722227534,1281.9000126719477,1263.1901286497084,1313.010970348545,1356.3784820176115,1237.3999779105188,1259.6707837801869,1336.7326641454604,1391.141014288819,1214.2000249266623
2014-08-21,1273.7,1,1250.265108878354,1281.4930749058956,1305.8358770065825,1288.699964594841,1243.783853567302,1294.030317570183,1337.174680440728,1229.8999970972538,1240.307862750926,1317.5847818022794,1373.3657069278267,1192.1999646127224
2014-08-22,1278.6,1,1253.409099502184,1284.3697409748686,1310.2507356566507,1285.8000630855558,1247.1155700359209,1290.0365308955052,1336.7627460664007,1233.5999867677688,1242.4005670295717,1319.2800903755965,1360.0893565244478,1206.6999670028686
2014-08-25,1277.3,1,1255.7658296788886,1286.2096506436226,1305.9444950222976,1263.699979263544,1248.564594866536,1294.981892109787,1339.064629624883,1235.199966597557,1246.2632108508997,1321.5851948842414,1373.3725746171872,1211.6999895453453
2014-08-26,1283.8,1,1263.5950107944527,1293.098149178922,1312.3161597301,1268.9000158667563,1257.3740277581348,1303.528835696222,1344.8637197775995,1234.4000089526176,1254.1723822356598,1329.893798265318,1379.3249446459442,1205.2999731779098
2014-08-27,1281.9,1,1262.529013860932,1293.50814148047,1314.1924241229278,1265.0999681890012,1261.1040448396373,1309.013745353729,1352.473634122957,1225.6999872744084,1253.184960948547,1338.5592077914398,1392.2367229335428,1224.600029307604
2014-08-28,1288.7,1,1267.5320737227305,1297.3688933673532,1317.1311621371894,1265.7999644815925,1260.7784860158868,1305.7975854198291,1349.0893348350514,1215.2999666571618,1258.4578938562456,1332.6979646729192,1381.70467318531,1220.9999922692775
2014-08-29,1285.8,1,1267.602967967869,1296.5461334976214,1313.2897797473877,1252.7000239491465,1261.73389256392,1308.793758156976,1347.8600145509267,1216.8000182032586,1258.017363038752,1335.182982743148,1385.3716044679811,1229.300022125244
2014-09-02,1263.7,1,1246.5627780500708,1273.5771411211365,1295.837348521538,1246.7999907672406,1246.4269917534818,1294.393737600455,1327.0657219830407,1220.9999633014202,1239.6346685129347,1315.7598241698852,1367.0569280876366,1233.599967956543
2014-09-03,1268.9,1,1251.2750761752404,1279.4045269320238,1296.6972057685591,1243.500015193224,1246.217220493632,1293.2389243539085,1329.9348048593797,1218.6000357449057,1241.827893772277,1318.3321971276089,1367.3327619837405,1244.1000064969064
2014-09-04,1265.1,1,1247.4849409205297,1274.1740945317404,1295.3631891886112,1237.399967730045,1244.1362386630458,1293.5571799328125,1324.8904020845669,1221.200004118681,1240.3375733390587,1311.9548182502556,1365.289705001456,1240.499977058172
2014-09-05,1265.8,1,1246.350827446034,1276.1470204665409,1297.0845137533831,1229.9000141739846,1241.5496641464842,1294.2550106600838,1330.9454910174352,1214.1000126361846,1235.339729449464,1317.2892924676803,1372.5492872825848,1238.2999681949616
2014-09-08,1252.7,1,1235.7334706034642,1262.528929252253,1283.7139329084937,1233.6000242888929,1233.339853782706,1283.7877942581042,1313.5268109026872,1217.5000087976457,1226.2364005806462,1304.0594765618491,1353.423541751467,1243.9999809622766
2014-09-09,1246.8,1,1230.40673061625,1256.2358388384598,1277.4876554472326,1235.200011920929,1229.2446789353514,1276.9615568350666,1306.6111455002915,1210.4999860525131,1223.231079367181,1296.502674670856,1345.6555257711816,1250.9999905586242
2014-09-10,1243.5,1,1227.3370802286336,1255.4111817390803,1277.465802435169,1234.3999681770802,1232.7860384837204,1275.0131144410427,1313.8956993601068,1214.5999852716925,1220.693884955085,1305.4403796128502,1350.8782898352183,1244.8000363111496
2014-09-11,1237.4,1,1224.5044772950198,1245.5546702950005,1266.4315704218543,1225.6999830484392,1225.3245122693322,1269.548601015788,1288.7188015821037,1214.199989080429,1220.3542728091843,1283.4090738971468,1325.2588715248485,1228.5000097990037
2014-09-12,1229.9,1,1215.277478773479,1239.5503838275308,1262.071955154326,1215.3000279903413,1220.7073236228346,1260.4647681844187,1292.1266517246238,1192.2000220656396,1213.3395618414202,1282.5354261937143,1328.6497605914233,1231.2000396847725
