split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
fold_1,5,14.291813329691442,19.231773754720834,2.142682607916833,61.23936816524909,0.9767128365575057
fold_1,15,24.694492867867822,32.78952484269548,3.6709759092098677,63.547995139732684,0.9625863576479788
fold_1,30,34.36300443029201,45.38279011743928,5.060075009534887,66.0996354799514,0.9414458939016329
fold_2,5,26.691033201960717,35.892104435461285,2.4076742276382337,58.68772782503038,0.9752150688073249
fold_2,15,44.43108510802322,60.112032669077074,3.975259503470126,62.818955042527335,0.9533349549837471
fold_2,30,60.03870787971799,81.29119115473931,5.219567146841909,70.1093560145808,0.8988745836518554
fold_3,5,27.656160475764505,37.76281224155427,1.9091485393928485,49.6962332928311,1.0238643980203166
fold_3,15,51.71220036464792,66.24544272950301,3.5995364982147344,44.349939246658565,1.0893076335177496
fold_3,30,78.98311340042626,94.97700541924497,5.498390193571266,36.452004860267316,1.2516940217264882
fold_4,5,19.17607829357121,24.032281896387573,1.5653560886116709,48.724179829890645,1.019187378863028
fold_4,15,34.06961688416697,42.67042189062951,2.7965472902789985,49.08869987849332,1.0293879632997318
fold_4,30,46.03922744853963,59.10939636326866,3.7830757398585604,46.41555285540705,1.07788607123587
fold_5,5,24.330151934315193,36.201732170904144,1.513814261102861,57.95868772782503,0.9820939632781642
fold_5,15,40.50244479078714,55.33564635143373,2.516764719927704,53.94896719319563,0.9964401482053336
fold_5,30,59.969054265329355,74.26726262089328,3.7372441372886542,54.79951397326853,1.0149864993593758
