val_loss,filters_1,filters_2,filters_3,spatial_dropout,dense_units,dropout,lr,loss_weight_h15,loss_weight_h30
0.3693,96,64,256,0.2,64,0.2,0.00405701014195834,0.6000000000000001,0.2
0.369445,32,128,192,0.25,32,0.4,0.00012165541012624621,0.6000000000000001,0.2
0.370249,96,32,128,0.1,128,0.2,0.0012482904754698163,0.4,0.4
0.370671,64,32,192,0.05,96,0.1,0.00010805627988186071,0.4,0.2
0.372316,96,96,256,0.15000000000000002,128,0.1,0.00162360268482153,0.6000000000000001,0.2
