,MAE,MAE,RMSE,RMSE,MAPE%,MAPE%,DirAcc%,DirAcc%,MAE/naive,MAE/naive
,mean,std,mean,std,mean,std,mean,std,mean,std
h,,,,,,,,,,
5,22.429,5.61,30.624,8.412,1.908,0.38,55.261,5.667,0.995,0.024
15,39.082,10.275,51.431,13.549,3.312,0.622,54.751,8.417,1.006,0.055
30,55.879,16.79,71.006,19.294,4.66,0.836,54.775,13.865,1.037,0.138
