split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
treino,5,15.456315961599705,21.964454704324933,1.5917551764436217,67.35609269872913,0.8201300828671574
treino,15,26.96398102050555,37.47200728345295,2.7611600508966885,66.90755046100175,0.8201982041183127
treino,30,37.05183925804817,51.450978801879806,3.748204134313781,67.2813356591079,0.8221967745439063
val,5,31.12419949296412,46.14528783366874,1.9382815937182059,53.643966547192356,1.2647324260347563
val,15,50.71341083033395,66.2297281744517,3.1541073043844037,48.62604540023895,1.2527152000250967
val,30,80.51650811680899,105.76190088419008,5.008180205187345,54.121863799283155,1.3710750777095384
teste,5,38.2342536026365,48.19679679685809,1.8231217683691296,52.540272614622054,1.159889640278442
teste,15,63.87207967398187,80.21616521175031,3.054797214725451,55.01858736059479,1.0676502517499598
teste,30,87.65824693626779,109.08870911754815,4.155295333534275,58.36431226765799,1.0020880641913963
