feature,correlacao
hist_vol_5,0.7822251832846903
rv_5,0.7822251832846903
hist_vol_10,0.7070494623952366
hist_vol_20,0.6478446182876104
rv_20,0.6478446182876104
hist_vol_60,0.532272319872076
rv_60,0.532272319872076
vix,0.47168560096353673
rv_20_rank,0.4594657620122022
rv20_rank_252,0.4594657620122022
garch_rank,0.4433139044057866
garch_rank_252,0.4433139044057866
gvz_zscore_60d,0.34839460151217005
oil_market_balance_mbd,0.2902693106222632
gvz_pct_change,0.26153669295167226
eur_usd,0.25766943338679255
vix_rank_252,0.25012811268293833
vix_rank,0.25012811268293833
usd_rub,-0.2193062128557738
silver_high,0.20364353382970687
petrodolar_brent,0.20349836436604465
platinum_high,0.19958089239069723
silver_open,0.1994950024058806
platinum_open,0.1987688754942456
platinum_close,0.1984638251018296
platinum_low,0.19757059864447996
silver_close,0.19496408730129255
tnx,-0.1883294974090871
dxy,-0.18350914160085233
inflation,-0.16048612442332863
us_shale_production_mbd,-0.15660699766394048
opec_compliance_pct,-0.1470939010599201
brent_crude_usd,0.1418305060421325
sp500,-0.13951242655455476
real_rate_proxy,-0.12849881632025847
brics_gold_reserves_tonnes,-0.11589440382422372
roc_10,-0.09364774888115569
global_fx_reserves_gold_share_pct,-0.09189377333065289
de_dollarization_pressure_index,-0.08878335478799221
macd_signal,0.0712298372707828
bb_position,-0.07035242894047411
day_variation,0.06994962708704285
sma_ratio,-0.05865346466570917
usd_global_fx_reserves_pct,-0.05470081126780662
oil,0.05283434075548054
close_return,-0.046800789542464125
brent_roc_20,0.045694508852467036
tips,-0.042295218335035766
month,0.03334062871326372
dxy_rank_252,0.03311977233328578
rsi_14,-0.031226987541144547
silver_volume,0.029263344815078425
volume,-0.0244426006144226
macd,0.022638880227844983
palladium_low,-0.009694248302301017
brent_wti_spread,0.00876176037598248
palladium_close,-0.00848652974109414
brent_vol_20,-0.008358468103559776
palladium_open,-0.006629496281725285
palladium_high,-0.006002181496992654
