,MAE,MAE,RMSE,RMSE,MAPE%,MAPE%,DirAcc%,DirAcc%,MAE/naive,MAE/naive
,mean,std,mean,std,mean,std,mean,std,mean,std
h,,,,,,,,,,
5,23.654,6.263,32.108,9.362,2.007,0.426,51.373,3.961,1.048,0.047
15,40.658,10.493,53.229,13.725,3.418,0.577,55.067,4.546,1.049,0.068
30,57.302,16.956,72.127,19.289,4.831,0.927,55.917,10.651,1.075,0.193
