split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
treino,5,18.268081897067926,26.601615260104662,1.893428973564027,59.182656366807876,0.9693256502577152
treino,15,31.20671594376253,44.421792250639434,3.207973786202404,60.877149264889105,0.949254946961999
treino,30,42.638074636033075,60.328178528326816,4.3086654880156265,64.31597308746574,0.9461578194365586
val,5,24.423384335042464,35.87455847579355,1.5227641006497807,57.825567502986864,0.9924446773007042
val,15,40.7667755730192,55.82631527001347,2.5290268973334746,53.40501792114696,1.0070148818660456
val,30,58.128181174386796,72.60098418985807,3.643050335335955,56.75029868578255,0.9898355304376193
teste,5,32.94861902299867,42.01457728665626,1.582578685613047,53.407682775712516,0.9995425113679235
teste,15,58.47785421312962,73.37089251593468,2.785323680618801,56.877323420074354,0.9774833713122006
teste,30,79.62226651282855,98.61582708365322,3.7127004951493294,65.92317224287486,0.9102226624995398
