split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive
fold_1,5,15.249388150984869,20.074700321344544,2.300038776877528,47.38760631834751,1.0421541908731615
fold_1,15,26.332425418499753,35.300814342160514,3.870734585050091,58.566221142162824,1.0264326385342477
fold_1,30,37.43961941290597,49.47648014729888,5.571471955651211,54.921020656136086,1.0257361528740072
fold_2,5,28.242999368333876,38.89524924575032,2.5051450519207097,55.28554070473876,1.031919535070364
fold_2,15,44.342262262019034,58.83384475085095,3.904488926808542,60.753341433778864,0.9514291288331804
fold_2,30,55.55551170724855,74.19474517834931,4.854531488358703,70.1093560145808,0.8317540336721413
fold_3,5,30.462081714830884,41.19848497511897,2.091985927356506,49.93924665856622,1.1277429845958706
fold_3,15,53.76956749662738,69.47769542041316,3.7364927980424256,50.42527339003645,1.1326456795883215
fold_3,30,83.9714026089065,102.00918058746673,5.885581614180478,42.64884568651276,1.3307465117092874
fold_4,5,19.475932520577278,24.28159331167351,1.5904961128214892,48.359659781287974,1.0351242998009116
fold_4,15,34.59175746319939,43.237289042572094,2.827399845652911,54.55650060753341,1.0451640499235915
fold_4,30,51.00383371029996,63.305042847764454,4.166369713497887,49.817739975698665,1.194119123684529
fold_5,5,24.840957077812597,36.09007963337079,1.5465871294831401,55.893074119076545,1.0027127678460346
fold_5,15,44.25582223457091,59.29361478905596,2.753090225350831,51.03280680437424,1.0887806475424298
fold_5,30,58.53923840526388,71.65159167078603,3.676260785209039,62.089914945321986,0.9907866214003966
