,rmse,mae,r2,dir_acc
lr_train,0.010879354245322014,0.00770403345788856,0.012372187177148941,0.5274725274725275
lr_test,0.00991572380021197,0.007685151666460803,-0.020276557160537667,0.4592833876221498
naive_test,0.01391978290313213,0.010861466543399456,-1.0106384789341645,0.5179153094462541
