split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive,model
treino,5,16.623775920596408,24.222945025415534,1.7022886981078609,66.15998006478944,0.8820768647066869,lstm
treino,15,25.839400983926154,37.30008594225755,2.587477708444287,72.68876152504362,0.7859904020252807,lstm
treino,30,36.121833772129655,51.69209463606355,3.6362010740624617,73.16222277597807,0.8015595396281187,lstm
val,5,24.385376312691392,36.45150330579804,1.5214083230283377,54.00238948626045,0.9909002206046301,lstm
val,15,40.55833506869016,53.61138064752643,2.5411432383562653,56.75029868578255,1.0018660152487424,lstm
val,30,56.514518495578784,69.83906128208044,3.5659057239237404,56.033452807646356,0.9623572811383083,lstm
teste,5,33.213412200902326,42.427776721635205,1.6033114790134615,50.06195786864932,1.0075753833329113,lstm
teste,15,63.00381199811322,77.88640588874293,3.0229568935672417,53.77942998760843,1.0531367709386386,lstm
teste,30,83.71382644050922,102.70469616684542,3.9591276819449095,59.23172242874845,0.9569963947010702,lstm
