h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive,split,model
5,32.38816121011567,41.4151633867264,1.555198005137568,57.372986369268894,0.9825402385438692,teste,cnn
15,58.081332584362485,72.68014913478135,2.774405797472232,58.85997521685255,0.9708553357301686,teste,cnn
30,83.43387004669566,102.37814527204372,3.9176404343166307,61.957868649318456,0.9537960003224488,teste,cnn
