split,h,MAE,RMSE,MAPE%,DirAcc%,MAE/naive,model
treino,5,18.770518962307044,27.16709447629866,1.948685679139148,55.09593820084725,0.9959855446965864,xgboost
treino,15,32.75258931385708,46.43532845447665,3.3675291472779394,56.69075504610017,0.9962777720033623,xgboost
treino,30,45.264363498431386,63.484251166343455,4.597392210129409,57.78719162721156,1.0044363361019746,xgboost
val,5,24.335399726428438,36.00485653716473,1.516418182995681,57.10872162485066,0.9888694210911014,xgboost
val,15,40.518267247668305,55.17760019146365,2.5246589892992413,53.04659498207885,1.000876265839185,xgboost
val,30,59.72485443184168,74.02592549659816,3.733307028578192,53.882915173237755,1.01702447543466,xgboost
teste,5,32.53281673610285,41.61944984135245,1.5617363447640402,56.50557620817844,0.9869285665532328,xgboost
teste,15,58.25767497643366,73.11017786772575,2.7786803541481797,58.85997521685255,0.9738029773327275,xgboost
teste,30,83.15580657253774,101.4499109870952,3.8916502588332214,61.957868649318456,0.9506172453475309,xgboost
